date,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,EUR,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
2023-11-01,1.5574502647,1.845130202,4.9492308687,1.3833302206,0.9055901781,7.3103609273,23.27602322,7.0516707748,0.9443600953,0.8211201439,7.8197212182,7.0410111962,361.5043606555,15900.154866109,3.9821905619,83.1432506478,139.3554469966,150.5990270876,1343.7700194798,17.7604021451,4.7653208993,11.1434119517,1.7018802959,56.7538766775,4.2144805029,4.6933906687,92.5680601649,11.1571221521,1.3662402151,36.0501743055,28.3236940543,1,18.508442602
2023-11-02,1.5555402178,1.8285102704,4.9553706819,1.374890224,0.9060601643,7.319030869,23.0048625459,7.0298810089,0.9420601538,0.820370131,7.8240408726,7.0424810085,359.0241410929,15841.293677423,4.0000404856,83.2455657175,138.4254029561,150.4914257422,1330.4376688943,17.5409432413,4.7524707996,11.1601719988,1.6961702632,56.8272175323,4.1846308055,4.6793705949,94.0597052244,11.1107813948,1.3650102342,35.9682856103,28.4227533718,1,18.419643197
2023-11-03,1.5356702269,1.8222102495,4.8941004912,1.3662002457,0.8993201645,7.3019311702,22.7510139733,6.9480209851,0.9314901035,0.8080701582,7.8247113572,7.0462908087,352.4982180602,15715.592471854,3.9242807669,83.1371253894,139.0275850424,149.3919376359,1307.036082238,17.4369528796,4.7281806726,11.0356318241,1.6670902039,56.0887690549,4.147410738,4.6339308193,91.7552305461,10.8789420302,1.3535501571,35.5846058805,28.3986455043,1,18.2324221506
2023-11-04,1.5356702172,1.8222103226,4.8941007571,1.3662002035,0.8993201242,7.3019312671,22.7510124793,6.9485912246,0.9314901146,0.8080701564,7.8247111046,7.0462913536,352.4981970142,15715.592905888,3.9242805767,83.1371220748,139.0275813255,149.3919436763,1307.0360490262,17.4369532876,4.7281809152,11.0356316232,1.667090186,56.0887711579,4.1474107589,4.6339305553,91.7552297407,10.8789415684,1.353550165,35.5846042656,28.3986436057,1,18.2324228362
2023-11-05,1.5345401805,1.8221902017,4.8928708594,1.3660502242,0.8990201329,7.2979409447,22.7013730614,6.9510907368,0.9317201208,0.8080701125,7.8221108037,7.0425408739,353.8908982314,15704.153081381,3.9255304843,83.0822989945,139.0264570119,149.4456975115,1306.3790579203,17.4655028338,4.7255407304,11.0195415238,1.6677903169,56.0604368321,4.1444707599,4.630280471,91.7027771534,10.8775617582,1.3535102301,35.5178959579,28.3943738694,1,18.2485130574
2023-11-06,1.540710171,1.8227202545,4.8912705779,1.3698102239,0.8992801418,7.2695210051,22.8758833395,6.9566507464,0.9329101504,0.8100401043,7.819581003,7.0418807051,353.7792950526,15518.304379932,3.8849406506,83.1917239129,140.3204651953,149.9825969245,1297.3164824939,17.5424327519,4.6334306805,11.0520014768,1.6773101691,55.9764680724,4.1556206223,4.633690531,92.3824093637,10.9143713045,1.3505001607,35.5000059319,28.4435948311,1,18.2926028719
2023-11-07,1.555220264,1.8269502383,4.8660508603,1.3771002329,0.9001901729,7.2806011464,22.9968141086,6.972281163,0.9351301059,0.813710138,7.8190110551,7.0433612967,353.0449385411,15623.222226333,3.8703206602,83.2441109025,140.8295255054,150.4117679234,1303.6521133344,17.4809233477,4.6704908071,11.1877722109,1.6853501903,56.0677604834,4.1648806826,4.6442405895,92.1965448025,10.9207915349,1.3547101884,35.5134544818,28.4946454899,1,18.3425625336
2023-11-08,1.5611202973,1.8268301923,4.9041807207,1.3789702224,0.8991601771,7.280021284,22.9297642338,6.9625411273,0.9335301045,0.8140501328,7.8118713718,7.0419910558,353.1101146838,15630.19655877,3.8293906395,83.1883155502,140.7911166791,150.8397124833,1306.3179929889,17.5321329187,4.6804005712,11.1706012257,1.6912602995,55.8650592669,4.1410006346,4.6380205064,91.8416311452,10.8883721127,1.3561501709,35.5349567114,28.5173847203,1,18.4867731091
2023-11-09,1.5719303066,1.8357902053,4.9332107855,1.3809002007,0.9030900994,7.2820107896,22.9692729235,6.9905008338,0.9373301362,0.818540151,7.8056612014,7.0419813049,355.1331487002,15633.883984947,3.8427205446,83.289414361,141.6565952716,151.3195198844,1316.5315015089,17.7835429263,4.6909705733,11.2211915666,1.6981401907,55.9045772373,4.1500306496,4.6571905128,92.1681742892,10.9223412213,1.3594802088,35.8000557852,28.5076343439,1,18.6530022352
2023-11-10,1.5725502232,1.8215602887,4.9014704965,1.379880183,0.9024901737,7.2887413755,22.9829530393,6.9785107271,0.9360701799,0.8182101477,7.809701364,7.0448510317,352.3941483498,15675.762225034,3.8540006703,83.2586150011,141.8621016849,151.5448008627,1315.1175091055,17.6365224232,4.7073508829,11.105161562,1.697680263,55.8465293506,4.1439104934,4.6533808969,92.2826527972,10.9080521783,1.3594502665,36.0278444127,28.5300032018,1,18.7204032768
